review_id	candidate_id	query_id	query_text	chunk_id	course_name	source_id	title	chunk_text	review_relevance	review_notes
R01	R01-C01	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	cb1e15bb0c2e9a5557cbfffd1108c39c15010464b9657a068aee3c6575dd1a16	机器学习基础	machine_learning/logistic_regression/chapter_notes.md	逻辑回归	总结补充：最终应形成可核查的四句话：概念是“逻辑回归把线性得分经 sigmoid 转换为类别概率。”；机制是“训练时通常最小化交叉熵，预测时再按阈值转成类别。”；例证是“根据学习时长预测是否通过考试可得到 0 到 1 的通过概率。”；边界是“默认 0.5 阈值不一定符合类别不平衡任务。”\n\n定向练习 12：从本节找出一个能直接支持“逻辑回归”的句子，再写一个与“章节小结”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。		
R01	R01-C02	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	45fdc78d43ac143f8b1c7f886b342cc3f752e7ab3e490d93023551d57d70f4c6	机器学习基础	machine_learning/gradient_descent/exam_requirements.md	梯度下降	## 应用练习\n\n练习一：用不超过一百字解释梯度下降。练习二：根据“学习率过大可能在最优点附近震荡甚至发散。”判断涉及的关键概念。练习三：针对“损失下降不代表测试误差一定同步下降。”改写一段错误答案并说明理由。\n\n复核任务：请围绕“梯度下降”重述本节的应用练习，并分别标出材料中的事实、解释、例子和限制。\n\n练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。\n\n定向练习 9：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“应用练习”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 复习检查表\n\n完成本资料后，应能准确写出梯度下降的定义，复述机制，完成一次比较，解释一个案例并识别一个陷阱。自测关键词为：学习率、梯度、收敛、批量、随机。若遗漏任一项，应回到对应章节补证据。\n\n复核任务：请围绕“梯度下降”重述本节的复习检查表，并分别标出材料中的事实、解释、例子和限制。\n\n自测补充：先遮住正文口述梯度下降，再用关键词检查遗漏。第二轮只看易错点修改答案，第三轮用案例验证是否真正理解，而非机械背诵。		
R01	R01-C03	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	533f0dbc28ec2d81489dd41ac7314ee6e03bdd22ce9b5b5ff74aa452df036533	机器学习基础	machine_learning/logistic_regression/chapter_notes.md	逻辑回归	定向练习 11：从本节找出一个能直接支持“逻辑回归”的句子，再写一个与“综合联系”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 章节小结\n\n本章围绕逻辑回归形成完整复习链：逻辑回归把线性得分经 sigmoid 转换为类别概率。 其运作或发展逻辑是：训练时通常最小化交叉熵，预测时再按阈值转成类别。；与相邻概念的辨析重点是：它名称含回归但常用于二分类；与线性回归的输出空间不同。；典型案例是：根据学习时长预测是否通过考试可得到 0 到 1 的通过概率。\n\n复核任务：请围绕“逻辑回归”重述本节的章节小结，并分别标出材料中的事实、解释、例子和限制。\n\n总结补充：最终应形成可核查的四句话：概念是“逻辑回归把线性得分经 sigmoid 转换为类别概率。”；机制是“训练时通常最小化交叉熵，预测时再按阈值转成类别。”；例证是“根据学习时长预测是否通过考试可得到 0 到 1 的通过概率。”；边界是“默认 0.5 阈值不一定符合类别不平衡任务。”		
R01	R01-C04	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	76127a9b53897072858a4a9779f3f78e7c3ffa57bccf16ba1602857a44e16793	机器学习基础	machine_learning/classification_metrics/common_mistakes.md	分类评估指标	# 分类评估指标\n\n## 核心界定\n\n准确率衡量总体正确比例，精确率关注预测为正的样本有多少是真的，召回率关注真实正例找回多少。 本节把“分类评估指标”放在机器学习基础的课程体系中理解，回答它研究什么、解决什么问题以及答题时应先写出的中心判断。关键词包括准确率、精确率、召回率、F1、混淆矩阵。\n\n复核任务：请围绕“分类评估指标”重述本节的核心界定，并分别标出材料中的事实、解释、例子和限制。\n\n边界补充：类别不平衡时准确率可能掩盖少数类失败。 因此定义题不仅要写“是什么”，还要指出它不是什么，以及判断对象是否满足成立条件。\n\n定向练习 1：从本节找出一个能直接支持“分类评估指标”的句子，再写一个与“核心界定”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 形成机制\n\n混淆矩阵把预测与真值组合成 TP、FP、TN、FN，其他指标由此计算。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。\n\n复核任务：请围绕“分类评估指标”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。		
R01	R01-C05	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	dcbb26a1bb04457051ec0f4e9ca5983b9b827dc132884b5a339cf869506311c8	世界现代史	world_modern_history/world_war_one/chapter_notes.md	第一次世界大战	完成本资料后，应能准确写出第一次世界大战的定义，复述机制，完成一次比较，解释一个案例并识别一个陷阱。自测关键词为：第一次世界大战、同盟体系、萨拉热窝、堑壕战。若遗漏任一项，应回到对应章节补证据。\n\n复核任务：请围绕“第一次世界大战”重述本节的复习检查表，并分别标出材料中的事实、解释、例子和限制。\n\n自测补充：先遮住正文口述第一次世界大战，再用关键词检查遗漏。第二轮只看易错点修改答案，第三轮用案例验证是否真正理解，而非机械背诵。\n\n定向练习 10：从本节找出一个能直接支持“第一次世界大战”的句子，再写一个与“复习检查表”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 综合联系\n\n第一次世界大战不是孤立知识点。它可以与课程中的前因、并行概念和后续影响建立联系。联系时仍应以材料证据为准，不把外部常识或未经说明的现实案例直接写成课程结论。\n\n复核任务：请围绕“第一次世界大战”重述本节的综合联系，并分别标出材料中的事实、解释、例子和限制。\n\n联系补充：跨章节联系必须说明连接理由。可以从共同主体、连续时间、相似机制或相反结果建立关系，但不得只因两个术语同时出现就认定有因果。		
R01	R01-C06	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	5766e9decc7d4a24babf332a3e1223719dbffb667cab679d0590932d2259ffaf	中国近现代史	modern_chinese_history/liberation/worked_examples.md	解放战争	## 比较题模板\n\n比较题先确定共同讨论对象，再选择稳定维度。可以把解放战争与相邻概念放在目标、条件、方法、结果四栏中比较。核心区别提示是：防御、反攻和决战阶段的军事任务不同。\n\n复核任务：请围绕“解放战争”重述本节的比较题模板，并分别标出材料中的事实、解释、例子和限制。\n\n评分补充：比较题若只写两列定义，通常缺少关系判断。高质量答案应明确共同点、差异点、适用条件，并用“防御、反攻和决战阶段的军事任务不同。”作结。\n\n定向练习 8：从本节找出一个能直接支持“解放战争”的句子，再写一个与“比较题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 例题与解析\n\n例题：请结合材料说明解放战争的核心机制与边界。解析：先写“解放战争决定了中国两种前途和政权走向。”，再展开“土地政策、群众动员、战略决战和政治争取共同影响胜负。”，随后引用“辽沈、淮海、平津三大战役改变全国军事格局。”，最后用“不能只用兵力数量解释战争结局。”排除过度概括。评分点分别对应概念、过程、证据和限制。\n\n复核任务：请围绕“解放战争”重述本节的例题与解析，并分别标出材料中的事实、解释、例子和限制。		
R01	R01-C07	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	f967ea733eed32b4a8eefe93829a8934f4d86fac88dd2551acb3baade657a477	世界现代史	world_modern_history/cold_war/chapter_notes.md	冷战	# 冷战\n\n## 核心界定\n\n冷战是美苏主导的全面对抗，主要避免直接大规模战争。 本节把“冷战”放在世界现代史的课程体系中理解，回答它研究什么、解决什么问题以及答题时应先写出的中心判断。关键词包括冷战、美苏、两极格局、代理人战争。\n\n复核任务：请围绕“冷战”重述本节的核心界定，并分别标出材料中的事实、解释、例子和限制。\n\n边界补充：冷战不等于完全没有热战，代理人战争仍然存在。 因此定义题不仅要写“是什么”，还要指出它不是什么，以及判断对象是否满足成立条件。\n\n定向练习 1：从本节找出一个能直接支持“冷战”的句子，再写一个与“核心界定”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 形成机制\n\n意识形态、国家利益、安全困境和力量结构共同推动对峙。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。\n\n复核任务：请围绕“冷战”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。		
R01	R01-C08	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	55999cb0d082fb36a053e425e46cd505316d26dd525a15723924160bff2883be	机器学习基础	machine_learning/logistic_regression/chapter_notes.md	逻辑回归	复核任务：请围绕“逻辑回归”重述本节的比较题模板，并分别标出材料中的事实、解释、例子和限制。\n\n评分补充：比较题若只写两列定义，通常缺少关系判断。高质量答案应明确共同点、差异点、适用条件，并用“它名称含回归但常用于二分类；与线性回归的输出空间不同。”作结。\n\n定向练习 8：从本节找出一个能直接支持“逻辑回归”的句子，再写一个与“比较题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 应用练习\n\n练习一：用不超过一百字解释逻辑回归。练习二：根据“根据学习时长预测是否通过考试可得到 0 到 1 的通过概率。”判断涉及的关键概念。练习三：针对“默认 0.5 阈值不一定符合类别不平衡任务。”改写一段错误答案并说明理由。\n\n复核任务：请围绕“逻辑回归”重述本节的应用练习，并分别标出材料中的事实、解释、例子和限制。\n\n练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。		
R01	R01-C09	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	0d767db6fc4dca23e3e5da1951ad854a810416e773a0616b4d5e6e9c1b4bf5ce	机器学习基础	machine_learning/logistic_regression/chapter_notes.md	逻辑回归	## 形成机制\n\n训练时通常最小化交叉熵，预测时再按阈值转成类别。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。\n\n复核任务：请围绕“逻辑回归”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。\n\n机制补充：可以把“训练时通常最小化交叉熵，预测时再按阈值转成类别。”拆成起点、传导环节和结果三个节点，再检查案例“根据学习时长预测是否通过考试可得到 0 到 1 的通过概率。”能否逐项对应。\n\n定向练习 2：从本节找出一个能直接支持“逻辑回归”的句子，再写一个与“形成机制”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 概念辨析\n\n它名称含回归但常用于二分类；与线性回归的输出空间不同。 对比题不能只列两个定义，还要在比较维度上说明相同点、不同点和适用条件。最常见维度包括目标、输入、过程、结果与局限。\n\n复核任务：请围绕“逻辑回归”重述本节的概念辨析，并分别标出材料中的事实、解释、例子和限制。		
R01	R01-C10	machine_learning-none-02	请根据课程资料预测下一期彩票开奖的全部号码。	77ac30df7201fb2577dd269c2d7f746d78892040372a2af93ff5b41c2ef76cbd	中国近现代史	modern_chinese_history/reform1898/worked_examples.md	戊戌维新	定向练习 8：从本节找出一个能直接支持“戊戌维新”的句子，再写一个与“比较题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 例题与解析\n\n例题：请结合材料说明戊戌维新的核心机制与边界。解析：先写“戊戌维新试图通过自上而下改革推动制度更新。”，再展开“维新派借助皇权发布新政，但缺乏稳定社会基础和武装保障。”，随后引用“废除八股、发展实业和改革教育体现变法方向。”，最后用“百日维新短暂不等于思想启蒙影响短暂。”排除过度概括。评分点分别对应概念、过程、证据和限制。\n\n复核任务：请围绕“戊戌维新”重述本节的例题与解析，并分别标出材料中的事实、解释、例子和限制。\n\n练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。\n\n定向练习 9：从本节找出一个能直接支持“戊戌维新”的句子，再写一个与“例题与解析”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。\n\n## 复习检查表		
